rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,key_press,success_time,board_size,board_set,board_no,success
NULL,NULL,sudoku_trial,11,821372,0.0-10.0,NULL,NULL,boards2x4,c,1,
NULL,NULL,sudoku_trial,12,915459,0.0-11.0,NULL,94085,boards2x3,a,3,1
NULL,NULL,sudoku_trial,13,1038181,0.0-12.0,NULL,NULL,boards2x4,a,4,
NULL,NULL,sudoku_trial,14,1124933,0.0-13.0,NULL,86750,boards2x3,b,0,1
NULL,NULL,sudoku_trial,15,1200980,0.0-14.0,NULL,76046,boards2x3,c,2,1
3839,NULL,instructions,16,1204819,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL
11989,"{"Q0":"mahi91"}",survey-text,0,11994,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
25386,NULL,instructions,1,37381,0.0-1.0,NULL,NULL,NULL,NULL,NULL,NULL
34317,NULL,instructions,2,71698,0.0-2.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
7871,NULL,html-keyboard-response,3,79571,0.0-2.0-1.0,67,NULL,NULL,NULL,NULL,NULL
27503,NULL,instructions,4,107074,0.0-3.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,5,163955,0.0-4.0,NULL,56878,boards2x3,d,0,1
33676,NULL,instructions,6,197631,0.0-5.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,7,230399,0.0-6.0,NULL,32767,boards2x2,b,4,1
NULL,NULL,sudoku_trial,8,303134,0.0-7.0,NULL,72734,boards2x3,b,2,1
NULL,NULL,sudoku_trial,9,409250,0.0-8.0,NULL,106115,boards2x3,a,1,1
NULL,NULL,sudoku_trial,10,435022,0.0-9.0,NULL,25769,boards2x2,a,3,1
NULL,NULL,sudoku_trial,11,459138,0.0-10.0,NULL,24115,boards2x2,c,1,1
NULL,NULL,sudoku_trial,12,534049,0.0-11.0,NULL,74910,boards2x3,c,0,1
NULL,NULL,sudoku_trial,13,658622,0.0-12.0,NULL,NULL,boards2x4,b,4,
NULL,NULL,sudoku_trial,14,783842,0.0-13.0,NULL,NULL,boards2x4,c,2,
NULL,NULL,sudoku_trial,15,906062,0.0-14.0,NULL,NULL,boards2x4,a,4,
19614,NULL,instructions,16,925676,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL
9135,"{"Q0":"MEAN79"}",survey-text,0,9138,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
14710,NULL,instructions,1,23849,0.0-1.0,NULL,NULL,NULL,NULL,NULL,NULL
230118,NULL,instructions,2,253967,0.0-2.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
7501,NULL,html-keyboard-response,3,261468,0.0-2.0-1.0,67,NULL,NULL,NULL,NULL,NULL
25600,NULL,instructions,4,287069,0.0-3.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,5,350539,0.0-4.0,NULL,63465,boards2x3,d,0,1
11489,NULL,instructions,6,362028,0.0-5.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,7,476430,0.0-6.0,NULL,114399,boards2x3,a,1,1
NULL,NULL,sudoku_trial,8,554294,0.0-7.0,NULL,77861,boards2x3,b,1,1
NULL,NULL,sudoku_trial,9,582596,0.0-8.0,NULL,28301,boards2x2,a,3,1
NULL,NULL,sudoku_trial,10,706253,0.0-9.0,NULL,NULL,boards2x4,b,4,
NULL,NULL,sudoku_trial,11,790196,0.0-10.0,NULL,83942,boards2x3,c,2,1
NULL,NULL,sudoku_trial,12,824380,0.0-11.0,NULL,34183,boards2x2,b,2,1
NULL,NULL,sudoku_trial,13,945876,0.0-12.0,NULL,NULL,boards2x4,a,3,
NULL,NULL,sudoku_trial,14,1067355,0.0-13.0,NULL,NULL,boards2x4,c,4,
NULL,NULL,sudoku_trial,15,1091193,0.0-14.0,NULL,23837,boards2x2,c,3,1
13759,NULL,instructions,16,1104953,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL
8297,"{"Q0":"Grne89"}",survey-text,0,8303,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
18399,NULL,instructions,1,26702,0.0-1.0,NULL,NULL,NULL,NULL,NULL,NULL
191289,NULL,instructions,2,217991,0.0-2.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
7241,NULL,html-keyboard-response,3,225234,0.0-2.0-1.0,67,NULL,NULL,NULL,NULL,NULL
17844,NULL,instructions,4,243079,0.0-3.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,5,306192,0.0-4.0,NULL,63111,boards2x3,d,0,1
162926,NULL,instructions,6,469118,0.0-5.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,7,562983,0.0-6.0,NULL,93864,boards2x3,b,1,1
NULL,NULL,sudoku_trial,8,649926,0.0-7.0,NULL,86942,boards2x3,a,4,1
NULL,NULL,sudoku_trial,9,772422,0.0-8.0,NULL,NULL,boards2x4,a,1,
NULL,NULL,sudoku_trial,10,894318,0.0-9.0,NULL,NULL,boards2x4,c,2,
NULL,NULL,sudoku_trial,11,927805,0.0-10.0,NULL,33487,boards2x2,c,1,1
NULL,NULL,sudoku_trial,12,1003093,0.0-11.0,NULL,75287,boards2x3,c,0,1
NULL,NULL,sudoku_trial,13,1125470,0.0-12.0,NULL,NULL,boards2x4,b,3,
NULL,NULL,sudoku_trial,14,1148820,0.0-13.0,NULL,23350,boards2x2,b,1,1
NULL,NULL,sudoku_trial,15,1167668,0.0-14.0,NULL,18848,boards2x2,a,4,1
8264,NULL,instructions,16,1175932,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL
